ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
214601_at,-2.376835366,4.266149687,-3.354036191,0.002119762,0.03221178,-1.523003016
1556131_s_at,1.907467924,5.363138423,3.35366388,0.002121847,0.0322345,-1.523903634
220093_at,2.372016596,5.436448906,3.352375422,0.002129076,0.032308421,-1.527020064
205943_at,2.242286283,8.602719966,3.350754476,0.002138205,0.032405209,-1.530939941
241811_x_at,-2.196404559,3.438853316,-3.350499419,0.002139645,0.03241482,-1.531556661
212151_at,-1.98714101,10.04136846,-3.34989622,0.002143054,0.032439498,-1.533015094
213620_s_at,-1.579073604,8.995304777,-3.349201107,0.002146989,0.032459336,-1.534695613
1554142_at,1.723986423,3.777976615,3.349140366,0.002147333,0.032459336,-1.534842456
202023_at,1.514583569,10.97880921,3.348734572,0.002149633,0.032476156,-1.535823434
211313_s_at,1.605924984,4.681483154,3.347435895,0.002157012,0.032515754,-1.538962538
240419_at,1.747721802,6.792050701,3.347000525,0.002159491,0.032544152,-1.540014773
219505_at,-1.749676572,9.52866433,-3.345925577,0.002165624,0.032601088,-1.542612531
220999_s_at,-1.80785532,7.096277082,-3.345920262,0.002165654,0.032601088,-1.542625376
1569947_at,-1.801214707,2.287724161,-3.34419708,0.00217552,0.03271248,-1.546788905
1566447_at,1.511177381,5.235393514,3.343403172,0.00218008,0.032746126,-1.548706817
231334_at,1.849720626,4.633576604,3.343024588,0.002182258,0.032769834,-1.549621323
228979_at,2.516173449,2.891433616,3.340415049,0.002197326,0.032934452,-1.555923666
227628_at,1.58314042,9.549856089,3.340309622,0.002197937,0.032934452,-1.556178237
231293_at,2.160048356,5.637199526,3.340291899,0.00219804,0.032934452,-1.556221033
236797_at,1.628616852,5.772662492,3.340102737,0.002199136,0.032941854,-1.556677788
214339_s_at,-1.907129511,7.845538902,-3.339720616,0.002201353,0.032966025,-1.557600435
220810_at,2.463405614,4.343780715,3.339569994,0.002202227,0.032970087,-1.557964104
242206_at,-2.497406992,5.805856982,-3.338887372,0.002206193,0.032988811,-1.55961217
244592_at,-1.524379349,6.641763025,-3.338690315,0.00220734,0.032988811,-1.5600879
214074_s_at,1.828272218,9.064290234,3.338524555,0.002208304,0.032988811,-1.560488063
213436_at,-2.506117904,5.328361575,-3.3378679,0.00221213,0.033021908,-1.562073218
204713_s_at,-2.936294511,5.603698629,-3.337862697,0.00221216,0.033021908,-1.562085777
242697_at,-1.692052044,4.957446286,-3.334946008,0.00222923,0.033174512,-1.569124939
